Year,County FIPS,County,State,Bivariate Tertile,Diagnosed Diabetes (Percentage) ,Median Household Income (Number) 
2019,53001,Adams County,Washington,HL,9.3,62410
2019,53003,Asotin County,Washington,HL,8.8,65625
2019,53005,Benton County,Washington,MH,8.2,85144
2019,53007,Chelan County,Washington,LH,7.5,81697
2019,53009,Clallam County,Washington,LM,7.8,66693
2019,53011,Clark County,Washington,HH,8.9,91149
2019,53013,Columbia County,Washington,HL,9.5,62935
2019,53015,Cowlitz County,Washington,HM,9.7,71847
2019,53017,Douglas County,Washington,MH,8.7,83870
2019,53019,Ferry County,Washington,LL,7.8,57064
2019,53021,Franklin County,Washington,HM,10,77820
2019,53023,Garfield County,Washington,ML,8.5,64413
2019,53025,Grant County,Washington,HL,11.1,63809
2019,53027,Grays Harbor County,Washington,HL,10.5,62258
2019,53029,Island County,Washington,LH,7.6,82717
2019,53031,Jefferson County,Washington,LM,5.7,69176
2019,53033,King County,Washington,LH,7.3,116044
2019,53035,Kitsap County,Washington,LH,7.6,93794
2019,53037,Kittitas County,Washington,LM,7.3,71737
2019,53039,Klickitat County,Washington,MM,8.6,70371
2019,53041,Lewis County,Washington,HM,10.1,67954
2019,53043,Lincoln County,Washington,LM,7.6,68318
2019,53045,Mason County,Washington,MM,8,78029
2019,53047,Okanogan County,Washington,LL,7.7,58661
2019,53049,Pacific County,Washington,ML,8.4,55615
2019,53051,Pend Oreille County,Washington,ML,8.5,59332
2019,53053,Pierce County,Washington,HH,10.5,92793
2019,53055,San Juan County,Washington,LH,4.5,84024
2019,53057,Skagit County,Washington,LM,7.5,79118
2019,53059,Skamania County,Washington,MH,8.1,82132
2019,53061,Snohomish County,Washington,MH,8.7,101440
2019,53063,Spokane County,Washington,MM,8.1,69079
2019,53065,Stevens County,Washington,LL,7.2,65748
2019,53067,Thurston County,Washington,LH,7.8,88560
2019,53069,Wahkiakum County,Washington,HM,9,70099
2019,53071,Walla Walla County,Washington,ML,8.1,66542
2019,53073,Whatcom County,Washington,LM,7.1,78796
2019,53075,Whitman County,Washington,ML,8.4,54412
2019,53077,Yakima County,Washington,HL,10.7,63058
