Year,County FIPS,County,State,Bivariate Tertile,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) 
2020,53001,Adams County,Washington,HM,10.1,31.4
2020,53003,Asotin County,Washington,HM,9.7,29.9
2020,53005,Benton County,Washington,MH,8.4,31.8
2020,53007,Chelan County,Washington,ML,7.8,27.6
2020,53009,Clallam County,Washington,LL,7,25.7
2020,53011,Clark County,Washington,MH,8.6,34.2
2020,53013,Columbia County,Washington,ML,8.6,27.4
2020,53015,Cowlitz County,Washington,HH,8.9,38.5
2020,53017,Douglas County,Washington,MM,7.8,30
2020,53019,Ferry County,Washington,ML,8.4,25.7
2020,53021,Franklin County,Washington,HH,8.9,36.8
2020,53023,Garfield County,Washington,LM,7.5,28.8
2020,53025,Grant County,Washington,HH,10.3,33.2
2020,53027,Grays Harbor County,Washington,HH,10.3,35.3
2020,53029,Island County,Washington,LL,7.2,26.8
2020,53031,Jefferson County,Washington,LL,6.9,20
2020,53033,King County,Washington,LL,6.8,21.5
2020,53035,Kitsap County,Washington,MM,8.2,30.8
2020,53037,Kittitas County,Washington,LL,7.4,24.9
2020,53039,Klickitat County,Washington,LL,7.6,26.5
2020,53041,Lewis County,Washington,HM,9.3,31.1
2020,53043,Lincoln County,Washington,MH,7.9,34.9
2020,53045,Mason County,Washington,MH,8.5,31.5
2020,53047,Okanogan County,Washington,HM,9.1,29.4
2020,53049,Pacific County,Washington,HH,9.1,35.1
2020,53051,Pend Oreille County,Washington,LL,7.5,24.1
2020,53053,Pierce County,Washington,HH,9.5,32.4
2020,53055,San Juan County,Washington,LL,4.6,19
2020,53057,Skagit County,Washington,LM,7.3,30.1
2020,53059,Skamania County,Washington,LL,6.6,28.2
2020,53061,Snohomish County,Washington,MM,8.3,31
2020,53063,Spokane County,Washington,MM,8.2,31.4
2020,53065,Stevens County,Washington,LM,6.8,28.3
2020,53067,Thurston County,Washington,MM,7.9,31.3
2020,53069,Wahkiakum County,Washington,HH,10.9,34.7
2020,53071,Walla Walla County,Washington,ML,8.2,25.2
2020,53073,Whatcom County,Washington,LL,7.2,26.3
2020,53075,Whitman County,Washington,LM,6.9,28.6
2020,53077,Yakima County,Washington,HH,9.2,36.5
